,match,GK Home,GK Away,FW Home,FW Away,MF Home,MF Away,DF Home,DF Away,backup Home,backup Away,Year
0,Qatar-Ecuador,72.0,71.0,64.91666666666667,71.0,64.75,73.75,65.58333333333333,68.56666666666666,61.68333333333333,65.03333333333333,2022
1,Ecuador-Qatar,71.0,72.0,71.0,64.91666666666667,73.75,64.75,68.56666666666666,65.58333333333333,65.03333333333333,61.68333333333333,2022
2,Senegal-Netherlands,76.0,74.0,73.54166666666667,81.33333333333333,76.0,79.0,81.0,85.0,66.175,69.86666666666666,2022
3,Netherlands-Senegal,74.0,76.0,81.33333333333333,73.54166666666667,79.0,76.0,85.0,81.0,69.86666666666666,66.175,2022
4,England-Iran,83.0,73.0,86.66666666666667,69.66666666666667,77.42,73.5,83.0,70.28333333333333,71.06666666666666,64.95714285714287,2022
5,Iran-England,73.0,83.0,69.66666666666667,86.66666666666667,73.5,77.42,70.28333333333333,83.0,64.95714285714287,71.06666666666666,2022
6,United States-Wales,71.0,75.0,78.33333333333333,75.33333333333333,73.0,75.5,74.0,70.0,66.18133333333334,62.6,2022
7,Wales-United States,75.0,71.0,75.33333333333333,78.33333333333333,75.5,73.0,70.0,74.0,62.6,66.18133333333334,2022
8,France-Australia,88.0,80.0,87.66666666666667,71.33333333333333,77.0,70.75,82.66666666666667,72.66666666666667,74.248,63.896,2022
9,Australia-France,80.0,88.0,71.33333333333333,87.66666666666667,70.75,77.0,72.66666666666667,82.66666666666667,63.896,74.248,2022
10,Denmark-Tunisia,83.0,71.0,76.33333333333333,76.66666666666667,77.25,73.32954545454545,78.33333333333333,75.66666666666667,65.93333333333334,65.3969696969697,2022
11,Tunisia-Denmark,71.0,83.0,76.66666666666667,76.33333333333333,73.32954545454545,77.25,75.66666666666667,78.33333333333333,65.3969696969697,65.93333333333334,2022
12,Mexico-Poland,74.0,86.0,78.0,82.66666666666667,75.5,74.5,77.0,76.0,63.46666666666667,65.66666666666667,2022
13,Poland-Mexico,86.0,74.0,82.66666666666667,78.0,74.5,75.5,76.0,77.0,65.66666666666667,63.46666666666667,2022
14,Argentina-Saudi Arabia,80.0,71.0,81.14666666666666,68.55072463768117,80.25,71.5,81.33333333333333,70.33333333333333,71.53333333333333,60.48695652173913,2022
15,Saudi Arabia-Argentina,71.0,80.0,68.55072463768117,81.14666666666666,71.5,80.25,70.33333333333333,81.33333333333333,60.48695652173913,71.53333333333333,2022
16,Belgium-Canada,89.0,73.0,87.0,73.33333333333333,85.25,73.5,84.33333333333333,66.66666666666667,73.92777777777776,62.2,2022
17,Canada-Belgium,73.0,89.0,73.33333333333333,87.0,73.5,85.25,66.66666666666667,84.33333333333333,62.2,73.92777777777776,2022
18,Spain-Costa Rica,73.0,70.0,81.0,68.0,84.0,71.75,79.0,72.66666666666667,63.53333333333333,63.62222222222222,2022
19,Costa Rica-Spain,70.0,73.0,68.0,81.0,71.75,84.0,72.66666666666667,79.0,63.62222222222222,63.53333333333333,2022
20,Germany-Japan,89.0,65.0,80.33333333333333,72.33333333333333,85.5,67.59375,82.33333333333333,64.79166666666667,71.73333333333333,60.06666666666667,2022
21,Japan-Germany,65.0,89.0,72.33333333333333,80.33333333333333,67.59375,85.5,64.79166666666667,82.33333333333333,60.06666666666667,71.73333333333333,2022
22,Morocco-Croatia,79.0,74.0,76.1159420289855,81.33333333333333,76.08695652173913,82.75,75.66666666666667,79.0,66.0231884057971,69.47733333333333,2022
23,Croatia-Morocco,74.0,79.0,81.33333333333333,76.1159420289855,82.75,76.08695652173913,79.0,75.66666666666667,69.47733333333333,66.0231884057971,2022
24,Switzerland-Cameroon,84.0,80.0,74.91666666666667,78.66666666666667,78.75,74.75,78.33333333333333,74.09523809523809,68.85,67.4952380952381,2022
25,Cameroon-Switzerland,80.0,84.0,78.66666666666667,74.91666666666667,74.75,78.75,74.09523809523809,78.33333333333333,67.4952380952381,68.85,2022
26,Uruguay-South Korea,81.0,64.27272727272727,76.33333333333333,64.27272727272727,73.07,69.75,80.0,66.18181818181817,65.66666666666667,62.64705882352941,2022
27,South Korea-Uruguay,64.27272727272727,81.0,64.27272727272727,76.33333333333333,69.75,73.07,66.18181818181817,80.0,62.64705882352941,65.66666666666667,2022
28,Portugal-Ghana,83.0,62.0,78.79166666666667,77.66666666666667,81.0,73.0,83.0,74.66666666666667,69.425,61.777777777777786,2022
29,Ghana-Portugal,62.0,83.0,77.66666666666667,78.79166666666667,73.0,81.0,74.66666666666667,83.0,61.777777777777786,69.425,2022
30,Brazil-Serbia,87.0,79.0,85.0,80.0,81.12,79.0,85.66666666666667,74.33333333333333,67.53333333333333,68.6,2022
31,Serbia-Brazil,79.0,87.0,80.0,85.0,79.0,81.12,74.33333333333333,85.66666666666667,68.6,67.53333333333333,2022
32,Wales-Iran,75.0,73.0,75.33333333333333,69.66666666666667,75.5,73.5,70.0,70.28333333333333,62.6,64.95714285714287,2022
33,Iran-Wales,73.0,75.0,69.66666666666667,75.33333333333333,73.5,75.5,70.28333333333333,70.0,64.95714285714287,62.6,2022
34,Qatar-Senegal,72.0,76.0,64.91666666666667,73.54166666666667,64.75,76.0,65.58333333333333,81.0,61.68333333333333,66.175,2022
35,Senegal-Qatar,76.0,72.0,73.54166666666667,64.91666666666667,76.0,64.75,81.0,65.58333333333333,66.175,61.68333333333333,2022
36,Netherlands-Ecuador,74.0,71.0,81.33333333333333,71.0,79.0,73.75,85.0,68.56666666666666,69.86666666666666,65.03333333333333,2022
37,Ecuador-Netherlands,71.0,74.0,71.0,81.33333333333333,73.75,79.0,68.56666666666666,85.0,65.03333333333333,69.86666666666666,2022
38,England-United States,83.0,71.0,86.66666666666667,78.33333333333333,77.42,73.0,83.0,74.0,71.06666666666666,66.18133333333334,2022
39,United States-England,71.0,83.0,78.33333333333333,86.66666666666667,73.0,77.42,74.0,83.0,66.18133333333334,71.06666666666666,2022
40,Tunisia-Australia,71.0,80.0,76.66666666666667,71.33333333333333,73.32954545454545,70.75,75.66666666666667,72.66666666666667,65.3969696969697,63.896,2022
41,Australia-Tunisia,80.0,71.0,71.33333333333333,76.66666666666667,70.75,73.32954545454545,72.66666666666667,75.66666666666667,63.896,65.3969696969697,2022
42,Poland-Saudi Arabia,86.0,71.0,82.66666666666667,68.55072463768117,74.5,71.5,76.0,70.33333333333333,65.66666666666667,60.48695652173913,2022
43,Saudi Arabia-Poland,71.0,86.0,68.55072463768117,82.66666666666667,71.5,74.5,70.33333333333333,76.0,60.48695652173913,65.66666666666667,2022
44,France-Denmark,88.0,83.0,87.66666666666667,76.33333333333333,77.0,77.25,82.66666666666667,78.33333333333333,74.248,65.93333333333334,2022
45,Denmark-France,83.0,88.0,76.33333333333333,87.66666666666667,77.25,77.0,78.33333333333333,82.66666666666667,65.93333333333334,74.248,2022
46,Argentina-Mexico,80.0,74.0,81.14666666666666,78.0,80.25,75.5,81.33333333333333,77.0,71.53333333333333,63.46666666666667,2022
47,Mexico-Argentina,74.0,80.0,78.0,81.14666666666666,75.5,80.25,77.0,81.33333333333333,63.46666666666667,71.53333333333333,2022
48,Japan-Costa Rica,65.0,70.0,72.33333333333333,68.0,67.59375,71.75,64.79166666666667,72.66666666666667,60.06666666666667,63.62222222222222,2022
49,Costa Rica-Japan,70.0,65.0,68.0,72.33333333333333,71.75,67.59375,72.66666666666667,64.79166666666667,63.62222222222222,60.06666666666667,2022
50,Belgium-Morocco,89.0,79.0,87.0,76.1159420289855,85.25,76.08695652173913,84.33333333333333,75.66666666666667,73.92777777777776,66.0231884057971,2022
51,Morocco-Belgium,79.0,89.0,76.1159420289855,87.0,76.08695652173913,85.25,75.66666666666667,84.33333333333333,66.0231884057971,73.92777777777776,2022
52,Croatia-Canada,74.0,73.0,81.33333333333333,73.33333333333333,82.75,73.5,79.0,66.66666666666667,69.47733333333333,62.2,2022
53,Canada-Croatia,73.0,74.0,73.33333333333333,81.33333333333333,73.5,82.75,66.66666666666667,79.0,62.2,69.47733333333333,2022
54,Spain-Germany,73.0,89.0,81.0,80.33333333333333,84.0,85.5,79.0,82.33333333333333,63.53333333333333,71.73333333333333,2022
55,Germany-Spain,89.0,73.0,80.33333333333333,81.0,85.5,84.0,82.33333333333333,79.0,71.73333333333333,63.53333333333333,2022
56,Cameroon-Serbia,80.0,79.0,78.66666666666667,80.0,74.75,79.0,74.09523809523809,74.33333333333333,67.4952380952381,68.6,2022
57,Serbia-Cameroon,79.0,80.0,80.0,78.66666666666667,79.0,74.75,74.33333333333333,74.09523809523809,68.6,67.4952380952381,2022
58,South Korea-Ghana,64.27272727272727,62.0,64.27272727272727,77.66666666666667,69.75,73.0,66.18181818181817,74.66666666666667,62.64705882352941,61.777777777777786,2022
59,Ghana-South Korea,62.0,64.27272727272727,77.66666666666667,64.27272727272727,73.0,69.75,74.66666666666667,66.18181818181817,61.777777777777786,62.64705882352941,2022
60,Brazil-Switzerland,87.0,84.0,85.0,74.91666666666667,81.12,78.75,85.66666666666667,78.33333333333333,67.53333333333333,68.85,2022
61,Switzerland-Brazil,84.0,87.0,74.91666666666667,85.0,78.75,81.12,78.33333333333333,85.66666666666667,68.85,67.53333333333333,2022
62,Portugal-Uruguay,83.0,81.0,78.79166666666667,76.33333333333333,81.0,73.07,83.0,80.0,69.425,65.66666666666667,2022
63,Uruguay-Portugal,81.0,83.0,76.33333333333333,78.79166666666667,73.07,81.0,80.0,83.0,65.66666666666667,69.425,2022
64,Wales-England,75.0,83.0,75.33333333333333,86.66666666666667,75.5,77.42,70.0,83.0,62.6,71.06666666666666,2022
65,England-Wales,83.0,75.0,86.66666666666667,75.33333333333333,77.42,75.5,83.0,70.0,71.06666666666666,62.6,2022
66,Iran-United States,73.0,71.0,69.66666666666667,78.33333333333333,73.5,73.0,70.28333333333333,74.0,64.95714285714287,66.18133333333334,2022
67,United States-Iran,71.0,73.0,78.33333333333333,69.66666666666667,73.0,73.5,74.0,70.28333333333333,66.18133333333334,64.95714285714287,2022
68,Ecuador-Senegal,71.0,76.0,71.0,73.54166666666667,73.75,76.0,68.56666666666666,81.0,65.03333333333333,66.175,2022
69,Senegal-Ecuador,76.0,71.0,73.54166666666667,71.0,76.0,73.75,81.0,68.56666666666666,66.175,65.03333333333333,2022
70,Netherlands-Qatar,74.0,72.0,81.33333333333333,64.91666666666667,79.0,64.75,85.0,65.58333333333333,69.86666666666666,61.68333333333333,2022
71,Qatar-Netherlands,72.0,74.0,64.91666666666667,81.33333333333333,64.75,79.0,65.58333333333333,85.0,61.68333333333333,69.86666666666666,2022
72,Australia-Denmark,80.0,83.0,71.33333333333333,76.33333333333333,70.75,77.25,72.66666666666667,78.33333333333333,63.896,65.93333333333334,2022
73,Denmark-Australia,83.0,80.0,76.33333333333333,71.33333333333333,77.25,70.75,78.33333333333333,72.66666666666667,65.93333333333334,63.896,2022
74,Tunisia-France,71.0,88.0,76.66666666666667,87.66666666666667,73.32954545454545,77.0,75.66666666666667,82.66666666666667,65.3969696969697,74.248,2022
75,France-Tunisia,88.0,71.0,87.66666666666667,76.66666666666667,77.0,73.32954545454545,82.66666666666667,75.66666666666667,74.248,65.3969696969697,2022
76,Poland-Argentina,86.0,80.0,82.66666666666667,81.14666666666666,74.5,80.25,76.0,81.33333333333333,65.66666666666667,71.53333333333333,2022
77,Argentina-Poland,80.0,86.0,81.14666666666666,82.66666666666667,80.25,74.5,81.33333333333333,76.0,71.53333333333333,65.66666666666667,2022
78,Saudi Arabia-Mexico,71.0,74.0,68.55072463768117,78.0,71.5,75.5,70.33333333333333,77.0,60.48695652173913,63.46666666666667,2022
79,Mexico-Saudi Arabia,74.0,71.0,78.0,68.55072463768117,75.5,71.5,77.0,70.33333333333333,63.46666666666667,60.48695652173913,2022
80,Croatia-Belgium,74.0,89.0,81.33333333333333,87.0,82.75,85.25,79.0,84.33333333333333,69.47733333333333,73.92777777777776,2022
81,Belgium-Croatia,89.0,74.0,87.0,81.33333333333333,85.25,82.75,84.33333333333333,79.0,73.92777777777776,69.47733333333333,2022
82,Canada-Morocco,73.0,79.0,73.33333333333333,76.1159420289855,73.5,76.08695652173913,66.66666666666667,75.66666666666667,62.2,66.0231884057971,2022
83,Morocco-Canada,79.0,73.0,76.1159420289855,73.33333333333333,76.08695652173913,73.5,75.66666666666667,66.66666666666667,66.0231884057971,62.2,2022
84,Japan-Spain,65.0,73.0,72.33333333333333,81.0,67.59375,84.0,64.79166666666667,79.0,60.06666666666667,63.53333333333333,2022
85,Spain-Japan,73.0,65.0,81.0,72.33333333333333,84.0,67.59375,79.0,64.79166666666667,63.53333333333333,60.06666666666667,2022
86,Costa Rica-Germany,70.0,89.0,68.0,80.33333333333333,71.75,85.5,72.66666666666667,82.33333333333333,63.62222222222222,71.73333333333333,2022
87,Germany-Costa Rica,89.0,70.0,80.33333333333333,68.0,85.5,71.75,82.33333333333333,72.66666666666667,71.73333333333333,63.62222222222222,2022
88,Ghana-Uruguay,62.0,81.0,77.66666666666667,76.33333333333333,73.0,73.07,74.66666666666667,80.0,61.777777777777786,65.66666666666667,2022
89,Uruguay-Ghana,81.0,62.0,76.33333333333333,77.66666666666667,73.07,73.0,80.0,74.66666666666667,65.66666666666667,61.777777777777786,2022
90,South Korea-Portugal,64.27272727272727,83.0,64.27272727272727,78.79166666666667,69.75,81.0,66.18181818181817,83.0,62.64705882352941,69.425,2022
91,Portugal-South Korea,83.0,64.27272727272727,78.79166666666667,64.27272727272727,81.0,69.75,83.0,66.18181818181817,69.425,62.64705882352941,2022
92,Serbia-Switzerland,79.0,84.0,80.0,74.91666666666667,79.0,78.75,74.33333333333333,78.33333333333333,68.6,68.85,2022
93,Switzerland-Serbia,84.0,79.0,74.91666666666667,80.0,78.75,79.0,78.33333333333333,74.33333333333333,68.85,68.6,2022
94,Cameroon-Brazil,80.0,87.0,78.66666666666667,85.0,74.75,81.12,74.09523809523809,85.66666666666667,67.4952380952381,67.53333333333333,2022
95,Brazil-Cameroon,87.0,80.0,85.0,78.66666666666667,81.12,74.75,85.66666666666667,74.09523809523809,67.53333333333333,67.4952380952381,2022
